"Calendar year","6-monthly","Cause of injury = traffic","First Nations status","Category Type","Category Value","Hospitalisations","Bed days excluding died in hospitals within 30 days"
2011,"Jan-Jun","Traffic","First Nations people","Age group","0-7",283,"1680"
2011,"Jan-Jun","Traffic","First Nations people","Age group","8-16",78,"644"
2011,"Jan-Jun","Traffic","First Nations people","Age group","17-25",57,"182"
2011,"Jan-Jun","Traffic","First Nations people","Age group","26-39",115,"914"
2011,"Jan-Jun","Traffic","First Nations people","Age group","40-64",0,"0"
2011,"Jan-Jun","Traffic","First Nations people","Age group","65+",0,"0"
2011,"Jan-Jun","Traffic","First Nations people","Age group","0-7",19,"83"
2011,"Jan-Jun","Traffic","Non-Indigenous","Age group","8-16",7531,"33855"
2011,"Jan-Jun","Traffic","Non-Indigenous","Age group","17-25",3524,"18615"
2011,"Jan-Jun","Traffic","Non-Indigenous","Age group","26-39",2629,"7404"
2011,"Jan-Jun","Traffic","Non-Indigenous","Age group","40-64",1270,"9859"
2011,"Jan-Jun","Traffic","Non-Indigenous","Age group","65+",0,"0"
2011,"Jan-Jun","Traffic","Non-Indigenous","Age group","0-7",0,"0"
2011,"Jan-Jun","Traffic","Non-Indigenous","Age group","8-16",117,"405"
2011,"Jan-Jun","Traffic","Non-Indigenous","Age group","17-25",235,"1039"
2011,"Jul-Dec","Traffic","First Nations people","Age group","26-39",334,"1757"
2011,"Jul-Dec","Traffic","First Nations people","Age group","40-64",109,"373"
2011,"Jul-Dec","Traffic","First Nations people","Age group","65+",64,"208"
2011,"Jul-Dec","Traffic","First Nations people","Age group","0-7",65,"471"
2011,"Jul-Dec","Traffic","First Nations people","Age group","8-16",11,"21"
2011,"Jul-Dec","Traffic","First Nations people","Age group","17-25",0,"0"
2011,"Jul-Dec","Traffic","First Nations people","Age group","26-39",0,"0"
2011,"Jul-Dec","Traffic","First Nations people","Age group","40-64",15,"73"
2011,"Jul-Dec","Traffic","Non-Indigenous","Age group","65+",8066,"34345"
2012,"Jul-Dec","Traffic","Non-Indigenous","Age group","0-7",3661,"16870"
2012,"Jul-Dec","Traffic","Non-Indigenous","Age group","8-16",2545,"6974"
2012,"Jul-Dec","Traffic","Non-Indigenous","Age group","17-25",1252,"9264"
2012,"Jul-Dec","Traffic","Non-Indigenous","Age group","26-39",287,"1429"
2012,"Jul-Dec","Traffic","Non-Indigenous","Age group","40-64",0,"0"
2012,"Jul-Dec","Traffic","Non-Indigenous","Age group","65+",0,"0"
2012,"Jul-Dec","Traffic","Non-Indigenous","Age group","0-7",324,"1426"
2012,"Jan-Jun","Traffic","First Nations people","Age group","8-16",356,"1837"
2012,"Jan-Jun","Traffic","First Nations people","Age group","17-25",84,"475"
2012,"Jan-Jun","Traffic","First Nations people","Age group","26-39",78,"190"
2012,"Jan-Jun","Traffic","First Nations people","Age group","40-64",114,"1013"
2012,"Jan-Jun","Traffic","First Nations people","Age group","65+",0,"0"
2012,"Jan-Jun","Traffic","First Nations people","Age group","0-7",0,"0"
2012,"Jan-Jun","Traffic","First Nations people","Age group","8-16",0,"0"
2012,"Jan-Jun","Traffic","First Nations people","Age group","17-25",8,"48"
2012,"Jan-Jun","Traffic","Non-Indigenous","Age group","26-39",7806,"33029"
2012,"Jan-Jun","Traffic","Non-Indigenous","Age group","40-64",3664,"17404"
2012,"Jan-Jun","Traffic","Non-Indigenous","Age group","65+",2747,"7104"
2012,"Jan-Jun","Traffic","Non-Indigenous","Age group","0-7",1206,"8081"
