Calendar year,Month,ABS remoteness area,Cause of injury,Age group,Sex,Road user,Counterparty,Count of cases,Bed days,Died_cases,Died_bed_days,Hospitalisations
2011,April,Major Cities,All other trauma events,0-7,Female,Not applicable,Not applicable,765,1007,,,765
2011,April,Major Cities,All other trauma events,0-7,Male,Not applicable,Not applicable,1010,1694,,,1010
2011,April,Major Cities,All other trauma events,17-25,Female,Not applicable,Not applicable,859,1597,,,859
2011,April,Major Cities,All other trauma events,17-25,Male,Not applicable,Not applicable,2231,3878,2,3,2229
2011,April,Major Cities,All other trauma events,26-39,Female,Not applicable,Not applicable,1098,2347,1,14,1097
2011,April,Major Cities,All other trauma events,26-39,Male,Not applicable,Not applicable,2339,4686,7,25,2332
2011,April,Major Cities,All other trauma events,40-64,Female,Not applicable,Not applicable,2060,6506,3,12,2057
2011,April,Major Cities,All other trauma events,40-64,Male,Not applicable,Not applicable,2688,8527,6,47,2682
2011,April,Major Cities,All other trauma events,65-74,Female,Not applicable,Not applicable,960,5174,4,57,956
2011,April,Major Cities,All other trauma events,65-74,Male,Not applicable,Not applicable,661,3382,5,47,656
2011,April,Major Cities,All other trauma events,75+,Female,Not applicable,Not applicable,3288,26974,77,652,3211
2011,April,Major Cities,All other trauma events,75+,Male,Not applicable,Not applicable,1480,11983,62,537,1418
2011,April,Major Cities,All other trauma events,8-16,Female,Not applicable,Not applicable,562,943,,,562
2011,April,Major Cities,All other trauma events,8-16,Male,Not applicable,Not applicable,1239,1973,1,3,1238
2011,April,Major Cities,Medical events,0-7,Female,Not applicable,Not applicable,8083,27401,11,121,8072
2011,April,Major Cities,Medical events,0-7,Male,Not applicable,Not applicable,11119,34808,19,217,11100
2011,April,Major Cities,Medical events,17-25,Female,Not applicable,Not applicable,16666,38207,4,24,16662
2011,April,Major Cities,Medical events,17-25,Male,Not applicable,Not applicable,7972,24280,2,4,7970
2011,April,Major Cities,Medical events,26-39,Female,Not applicable,Not applicable,44976,113643,11,81,44965
2011,April,Major Cities,Medical events,26-39,Male,Not applicable,Not applicable,16814,53366,18,140,16796
2011,April,Major Cities,Medical events,40-64,Female,Not applicable,Not applicable,72908,162113,140,1725,72768
2011,April,Major Cities,Medical events,40-64,Male,Not applicable,Not applicable,67962,150673,210,2245,67752
2011,April,Major Cities,Medical events,65-74,Female,Not applicable,Not applicable,31963,84980,164,1993,31799
2011,April,Major Cities,Medical events,65-74,Male,Not applicable,Not applicable,38131,95210,250,2630,37881
2011,April,Major Cities,Medical events,75+,Female,Not applicable,Not applicable,40755,186660,694,6432,40061
2011,April,Major Cities,Medical events,75+,Male,Not applicable,Not applicable,43899,152459,690,6416,43209
